English,Spanish
the dog,el perro
the cat,el gato
the bird,el pájaro
the fish,el pez
the rabbit,el conejo
the horse,el caballo
the cow,la vaca
the pig,el cerdo
the sheep,la oveja
the goat,la cabra
the duck,el pato
the chicken,la gallina
the bear,el oso
the lion,el león
the tiger,el tigre
the elephant,el elefante
the giraffe,la jirafa
the monkey,el mono
the zebra,la cebra
the hippopotamus,el hipopótamo
the rhinoceros,el rinoceronte
the wolf,el lobo
the fox,el zorro
the deer,el ciervo
the squirrel,la ardilla
the bat,el murciélago
the rat,la rata
the mouse,el ratón
the kangaroo,el canguro
the koala,el koala
the camel,el camello
the llama,la llama
the seal,la foca
the dolphin,el delfín
the whale,la ballena
the shark,el tiburón
the octopus,el pulpo
the crab,el cangrejo
the lobster,la langosta
the turtle,la tortuga
the crocodile,el cocodrilo
the alligator,el caimán
the frog,la rana
the toad,el sapo
the eagle,el águila
the hawk,el halcón
the owl,el búho
the peacock,el pavo real
the parrot,el loro
the penguin,el pingüino
